問題文,タイプ,答え,1,2,3,4
加法に詳しい島は？,4択,2,イースター島,タスマニア島,マダガスカル,日本列島
走り始めが上手な島は？,4択,1,イースター島,タスマニア島,マダガスカル,日本列島
パンはパンでも飛ぶぱんは？,4択,3,海パン,アンパン,フライパン,乾パン
樽はタルでも飛ぶタルは？,4択,4,ただの樽,タンタル,タルコフ,ホタル
パンはパンでもみんなから嫌われるパンは？,4択,2,フランスパン,戦犯,パンダ,パントリー
ベルはベルでも危険なベルは？,4択,1,サーベル,ただのベル,ベルリン,カウベル
ベルはベルでも穴を掘るためのベルは？,4択,4,バーベル,ベルリン,ただのベル,シャベル
ある法則に従って数字が並んでいます。□にはいるのは？１４１□２１３５６..,4択,1,4,2,1,0
世界のラグビーの代表チームの愛称「ブレイブ・ブロッサムズ」はどこの国のチーム？,4択,3,アメリカ,フランス,日本,ブラジル
マテ茶の「マテ」とはどういう意味でしょう？,4択,4,猫,インド,スリランカ,ひょうたん
紫陽花は日本で育てると赤色に育つのはなぜ？,4択,1,日本土は酸性だから,ここで言う紫は中国語で、中国語の「紫」は日本語では「赤」の意味だから。,日本の土はアルカリ性だから,気分
Phenixは日本語で何？,4択,1,不死鳥,発音,ツバメ,カラス
「蜚蠊」なんて読む？,4択,2,ざんごう,ゴキブリ,だんろ,ありづか
タルはタルでもきれいなタルは？,4択,1,クリスタル,樽,タンタル,タルコフ
ウスはウスでも宇宙一大きいウスは？,4択,4,臼,ウスターソース,ウッス！,シリウス
モリはモリでもペストが流行した頃に語られたモリは何？,4択,1,メメントモリ,モーリーロバートソン,モリゾウとキッコロ,おいでよどうぶつの森
ペンはペンでもおいしいペンは？,4択,2,ワッペン,ハンペン,ペンギン,ペンデュラム
ペンはペンでも装飾用のペンは？,4択,3,ペンキ,ペンデュラム,ワッペン,ペンギン
リスはリスでも宇宙一大きいリスは？,4択,4,リス,シマリス,ナリス,ポラリス
スペイン風邪は何ウイルスの風邪？,4択,1,インフルエンザウイルス,コロナウイルス,エボラウイルス,実はウイルス性ではない。
「終天」の意味は何？,4択,2,ある路線の最後の駅,この世の終わりまで,練り物料理,天国のさらに先
クリスマス・イブを日本語で言うと何？,4択,3,除夜,前夜,聖夜,誕生日
「乍ら」なんと読む？,4択,4,さく,す,いく,なが
グミはグミでもみんなが喜ぶグミは？,4択,1,恵み,ピュレグミ,ハードグミ,ＨＡＲＩＢＯ
雨の日に差すのは傘ですが、よく晴れた日に必ずさすのは何でしょう？,4択,2,日傘,日,水,空気
飛行機、船、車の中で就活のために使う交通手段は何でしょう,4択,3,飛行機,船,車,実はそれ以外
イクラはロシア語でなんという？,4択,4,ドゥイーニャ,ヴィナグラート,グリープ,イクラ
日本一大きいドームは何？,4択,1,福岡PayPayドーム,東京ドーム,バンテリンドーム,札幌ドーム
「玄鳥」はどの鳥？,4択,2,からす,つばめ,すずめ,とんび
